Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,how_much.started,how_much.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,10.4250060999766,12.424122999887913,return,2.684095300035551,10.4250060999766,None,,,,,,,,,,,1,001,2022-03-28_11h08.16.828,TRY1,2022.1.1,59.86396512124608,
האם את גרה באשדוד?,no,לא,black,NOhebYardenSHORT.wav,0,0,0,1,0,0,0,1,,,,,,,13.170352200046182,None,14.656041400041431,None,16.65767559991218,None,16.65659972988069,None,,,1,001,2022-03-28_11h08.16.828,TRY1,2022.1.1,59.86396512124608,
האם את גרה באשדוד?,no,לא,black,NOhebYardenSHORT.wav,0,0,0,1,0,1,1,1,,,,,,,,,17.356873499928042,None,19.358114999951795,None,19.359279629867522,None,,,1,001,2022-03-28_11h08.16.828,TRY1,2022.1.1,59.86396512124608,
האם את גרה באשדוד?,yes,כן,black,YEShebYardenSHORT.wav,0,0,0,1,0,2,2,0,,,,,,,,,20.05647849990055,None,22.056508699897677,None,22.055805829912423,None,,,1,001,2022-03-28_11h08.16.828,TRY1,2022.1.1,59.86396512124608,
האם את גרה באשדוד?,whiteNoise,רעש,grey,PinkNoise.wav,0,0,0,1,1,0,3,2,,,,,,,,,22.756076799938455,None,24.75607499992475,None,24.755465929955243,None,,,1,001,2022-03-28_11h08.16.828,TRY1,2022.1.1,59.86396512124608,
האם את גרה באשדוד?,yes,כן,black,YEShebYardenSHORT.wav,0,0,0,1,1,1,4,0,,,,,,,,,25.455752599984407,None,27.45434709987603,None,27.454265829967333,None,,,1,001,2022-03-28_11h08.16.828,TRY1,2022.1.1,59.86396512124608,
האם את גרה באשדוד?,whiteNoise,רעש,grey,PinkNoise.wav,0,0,0,1,1,2,5,2,,,,,,,,,28.15696209995076,None,30.156503400066867,None,30.15612572999671,None,,,1,001,2022-03-28_11h08.16.828,TRY1,2022.1.1,59.86396512124608,
האם את גרה באשדוד?,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,30.857879400020465,None,1,001,2022-03-28_11h08.16.828,TRY1,2022.1.1,59.86396512124608,
האם יש לך חמישה ילדים?,whiteNoise,רעש,grey,PinkNoise.wav,0,1,1,2,0,0,0,2,,,,,,,32.3570439000614,None,33.8577638999559,None,35.85645059985109,None,35.856187630072235,None,,,1,001,2022-03-28_11h08.16.828,TRY1,2022.1.1,59.86396512124608,
האם יש לך חמישה ילדים?,yes,כן,black,YEShebYardenSHORT.wav,0,1,1,2,0,1,1,0,,,,,,,,,36.556536899879575,None,38.55589980003424,None,38.55519673004746,None,,,1,001,2022-03-28_11h08.16.828,TRY1,2022.1.1,59.86396512124608,
