Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,sound_1.started,sound_1.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,how_much.started,how_much.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,7.22349249990657,11.239011599915102,space,5.218847300158814,7.22349249990657,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-04-02_21h09.12.203,TRY1,2022.1.1,60.02001064225079,
,,,,,,,,,,,,,,,,,,,12.477099699899554,None,space,3.411445800215006,12.477099699899554,None,,,,,,,,,,,,,,,,,,,1,001,2022-04-02_21h09.12.203,TRY1,2022.1.1,60.02001064225079,
,,,,,,,,,,,,,,,,,,,,,,,,,15.906345909833908,None,16.92129069985822,None,space,3.8643577001057565,16.92129069985822,None,,,,,,,,,,,1,001,2022-04-02_21h09.12.203,TRY1,2022.1.1,60.02001064225079,
האם יש לך חמישה ילדים?,yes,כן,black,YEShebYardenSHORT.wav,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,20.818396899849176,None,22.321209599962458,None,23.020271599991247,None,23.020383009826766,None,,,1,001,2022-04-02_21h09.12.203,TRY1,2022.1.1,60.02001064225079,
האם יש לך חמישה ילדים?,yes,כן,black,YEShebYardenSHORT.wav,0,0,0,2,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,24.021000399952754,None,24.72032570000738,None,24.719880809914322,None,,,1,001,2022-04-02_21h09.12.203,TRY1,2022.1.1,60.02001064225079,
האם יש לך חמישה ילדים?,no,לא,black,NOhebYardenSHORT.wav,0,0,0,2,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,25.721318499883637,None,26.42029369994998,None,26.420295109879227,None,,,1,001,2022-04-02_21h09.12.203,TRY1,2022.1.1,60.02001064225079,
האם יש לך חמישה ילדים?,whiteNoise,רעש,grey,PinkNoise.wav,0,0,0,2,1,0,3,2,,,,,,,,,,,,,,,,,,,,,,,27.420201999833807,None,28.12033739988692,None,28.119438809948043,None,,,1,001,2022-04-02_21h09.12.203,TRY1,2022.1.1,60.02001064225079,
האם יש לך חמישה ילדים?,whiteNoise,רעש,grey,PinkNoise.wav,0,0,0,2,1,1,4,2,,,,,,,,,,,,,,,,,,,,,,,29.120337100001052,None,29.820245299953967,None,29.81929660998285,None,,,1,001,2022-04-02_21h09.12.203,TRY1,2022.1.1,60.02001064225079,
האם יש לך חמישה ילדים?,no,לא,black,NOhebYardenSHORT.wav,0,0,0,2,1,2,5,1,,,,,,,,,,,,,,,,,,,,,,,30.819890399929136,None,31.520078499801457,None,31.519626909773798,None,,,1,001,2022-04-02_21h09.12.203,TRY1,2022.1.1,60.02001064225079,
האם יש לך חמישה ילדים?,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.519599799998105,None,1,001,2022-04-02_21h09.12.203,TRY1,2022.1.1,60.02001064225079,
