Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,sound_1.started,sound_1.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,8.287727699847892,12.292320299893618,space,8.53897920018062,8.287727699847892,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-04-02_21h15.46.735,TRY1,2022.1.1,59.99599226513765,
,,,,,,,,,,,,,,,,,,,16.86461879988201,None,space,11.334764700150117,16.86461879988201,None,,,,,,,,,,,,,,,,,1,001,2022-04-02_21h15.46.735,TRY1,2022.1.1,59.99599226513765,
,,,,,,,,,,,,,,,,,,,,,,,,,28.224961169948802,None,29.223396299872547,33.2228672998026,space,14.576062900247052,29.223396299872547,None,,,,,,,,,1,001,2022-04-02_21h15.46.735,TRY1,2022.1.1,59.99599226513765,
האם לאריאל יש שני בנים?,hot,םח,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\HOThebYarden.wav,0,0,0,3,0,0,0,4,,,,,,,,,,,,,,,,,,,,,43.83325189980678,None,45.33803669991903,None,46.038272799924016,None,46.0381459698081,None,1,001,2022-04-02_21h15.46.735,TRY1,2022.1.1,59.99599226513765,
האם לאריאל יש שני בנים?,indicator,דמ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\INDICATORhebYarden.wav,0,0,0,3,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,47.03812059992924,None,47.73857179982588,None,47.73795546982437,None,1,001,2022-04-02_21h15.46.735,TRY1,2022.1.1,59.99599226513765,
האם לאריאל יש שני בנים?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,0,0,3,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,48.73881669994444,None,49.4382080999203,None,49.43783176988363,None,1,001,2022-04-02_21h15.46.735,TRY1,2022.1.1,59.99599226513765,
האם לאריאל יש שני בנים?,minister,רש,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\MINISTERhebYarden.wav,0,0,0,3,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,50.43823829991743,None,51.137944099958986,None,51.137300869869065,None,1,001,2022-04-02_21h15.46.735,TRY1,2022.1.1,59.99599226513765,
האם לאריאל יש שני בנים?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,0,0,3,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,52.137593999970704,None,52.83774529979564,None,52.8369459700305,None,1,001,2022-04-02_21h15.46.735,TRY1,2022.1.1,59.99599226513765,
האם לאריאל יש שני בנים?,came,אב,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CAMEhebYarden.wav,0,0,0,3,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,53.837565899826586,None,54.537399399792776,None,54.53670286987908,None,1,001,2022-04-02_21h15.46.735,TRY1,2022.1.1,59.99599226513765,
האם לאריאל יש שני בנים?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,0,0,3,0,6,6,1,,,,,,,,,,,,,,,,,,,,,,,55.53680649981834,None,56.24215119984001,None,56.253744939947495,None,1,001,2022-04-02_21h15.46.735,TRY1,2022.1.1,59.99599226513765,
האם לאריאל יש שני בנים?,candle,רנ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CANDLEhebYarden.wav,0,0,0,3,0,7,7,6,,,,,,,,,,,,,,,,,,,,,,,57.23673069989309,None,57.93682539998554,None,57.936329969856885,None,1,001,2022-04-02_21h15.46.735,TRY1,2022.1.1,59.99599226513765,
האם לאריאל יש שני בנים?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,0,0,3,1,0,8,2,,,,,,,,,,,,,,,,,,,,,,,58.9368986999616,None,59.63685050001368,None,59.63626066986471,None,1,001,2022-04-02_21h15.46.735,TRY1,2022.1.1,59.99599226513765,
האם לאריאל יש שני בנים?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,0,0,3,1,1,9,0,,,,,,,,,,,,,,,,,,,,,,,60.636744499905035,None,61.336509299930185,None,61.3360199699644,None,1,001,2022-04-02_21h15.46.735,TRY1,2022.1.1,59.99599226513765,
האם לאריאל יש שני בנים?,came,אב,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CAMEhebYarden.wav,0,0,0,3,1,2,10,3,,,,,,,,,,,,,,,,,,,,,,,62.336642399895936,None,63.036144099896774,None,63.03630846990272,None,1,001,2022-04-02_21h15.46.735,TRY1,2022.1.1,59.99599226513765,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.03654679981992,None,,,,,,,,,,,
