Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,sound_1.started,sound_1.stopped,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,how_much.started,how_much.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,11.534661500016227,None,space,0.8675112000200897,11.534661500016227,None,,,,,,,,,,,,,,,,,,,,,1,001,2022-04-03_12h46.42.989,TRY1,2022.1.1,60.12672306651299,
,,,,,,,,,,,,,,,,,,,12.433023900026456,None,252.4258661998203,None,253.42442379985005,257.42408639984205,space,10.35849569994025,253.42442379985005,None,,,,,,,,,,,1,001,2022-04-03_12h46.42.989,TRY1,2022.1.1,60.12672306651299,
האם איתן גר בישראל?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,0,0,4,0,0,0,0,,,,,,,,,,,,,,,,,263.8362308999058,None,265.3334357999265,None,266.0365033999551,None,266.03914279988965,None,,,1,001,2022-04-03_12h46.42.989,TRY1,2022.1.1,60.12672306651299,
האם איתן גר בישראל?,candle,רנ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CANDLEhebYarden.wav,0,0,0,4,0,1,1,6,,,,,,,,,,,,,,,,,,,267.02286499994807,None,267.7348118999507,None,267.7389957998879,None,,,1,001,2022-04-03_12h46.42.989,TRY1,2022.1.1,60.12672306651299,
האם איתן גר בישראל?,indicator,דמ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\INDICATORhebYarden.wav,0,0,0,4,0,2,2,5,,,,,,,,,,,,,,,,,,,268.72315729991533,None,269.4328012999613,None,269.4397206000052,None,,,1,001,2022-04-03_12h46.42.989,TRY1,2022.1.1,60.12672306651299,
האם איתן גר בישראל?,minister,רש,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\MINISTERhebYarden.wav,0,0,0,4,0,3,3,7,,,,,,,,,,,,,,,,,,,270.42224300000817,None,271.1300506000407,None,271.1386884000152,None,,,1,001,2022-04-03_12h46.42.989,TRY1,2022.1.1,60.12672306651299,
האם איתן גר בישראל?,candle,רנ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CANDLEhebYarden.wav,0,0,0,4,0,4,4,6,,,,,,,,,,,,,,,,,,,272.1222569998354,None,272.8215271998197,None,272.8223584000254,None,,,1,001,2022-04-03_12h46.42.989,TRY1,2022.1.1,60.12672306651299,
האם איתן גר בישראל?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,0,0,4,0,5,5,1,,,,,,,,,,,,,,,,,,,273.8218332999386,None,274.5358912998345,None,274.53851700001394,None,,,1,001,2022-04-03_12h46.42.989,TRY1,2022.1.1,60.12672306651299,
האם איתן גר בישראל?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,0,0,4,0,6,6,2,,,,,,,,,,,,,,,,,,,275.5216343998909,None,276.2409995999187,None,276.2388879999984,None,,,1,001,2022-04-03_12h46.42.989,TRY1,2022.1.1,60.12672306651299,
האם איתן גר בישראל?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,0,0,4,0,7,7,0,,,,,,,,,,,,,,,,,,,277.22108039981686,None,277.9213633998297,None,277.92188629989977,None,,,1,001,2022-04-03_12h46.42.989,TRY1,2022.1.1,60.12672306651299,
האם איתן גר בישראל?,indicator,דמ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\INDICATORhebYarden.wav,0,0,0,4,1,0,8,5,,,,,,,,,,,,,,,,,,,278.92096180003136,None,279.6208100998774,None,279.62123810003976,None,,,1,001,2022-04-03_12h46.42.989,TRY1,2022.1.1,60.12672306651299,
האם איתן גר בישראל?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,0,0,4,1,1,9,1,,,,,,,,,,,,,,,,,,,280.62096400000155,None,281.32030839985237,None,281.3209226999199,None,,,1,001,2022-04-03_12h46.42.989,TRY1,2022.1.1,60.12672306651299,
האם איתן גר בישראל?,minister,רש,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\MINISTERhebYarden.wav,0,0,0,4,1,2,10,7,,,,,,,,,,,,,,,,,,,282.3208029998932,None,283.02108169998974,None,283.0208644998958,None,,,1,001,2022-04-03_12h46.42.989,TRY1,2022.1.1,60.12672306651299,
האם איתן גר בישראל?,hot,םח,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\HOThebYarden.wav,0,0,0,4,1,3,11,4,,,,,,,,,,,,,,,,,,,284.02088399999775,None,284.72005050000735,None,284.72013209986034,None,,,1,001,2022-04-03_12h46.42.989,TRY1,2022.1.1,60.12672306651299,
האם איתן גר בישראל?,came,אב,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CAMEhebYarden.wav,0,0,0,4,1,4,12,3,,,,,,,,,,,,,,,,,,,285.71988829993643,None,286.4300472999457,None,286.436768999882,None,,,1,001,2022-04-03_12h46.42.989,TRY1,2022.1.1,60.12672306651299,
