Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,sound_1.started,sound_1.stopped,image.started,image.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,how_much.started,how_much.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,7.295273700030521,None,11.25394030008465,None,space,2.348064800258726,11.25394030008465,None,,,,,,,,,,,,,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם השם שלך הוא חנה?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,0,0,0,0,0,0,0,,,,,,,,,13.630401889933273,None,14.629518399946392,None,24.64286020002328,None,26.64914710004814,None,27.346890199929476,None,27.34497048999183,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם השם שלך הוא חנה?,hot,םח,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\HOThebYarden.wav,0,0,0,0,0,1,1,4,,,,,,,,,,,,,,,28.34550500009209,None,29.044753199908882,None,29.044655789993705,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם השם שלך הוא חנה?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,30.04470509989187,None,30.74447560007684,None,30.744212089944632,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם השם שלך הוא חנה?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,31.744680600007996,None,32.459036899963394,None,32.444247889937834,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם השם שלך הוא חנה?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,33.444687200011685,None,34.148308699950576,None,34.144399089878426,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם השם שלך הוא חנה?,indicator,דמ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\INDICATORhebYarden.wav,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,35.1441979999654,None,35.8455135000404,None,35.843990289978684,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם השם שלך הוא חנה?,came,אב,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CAMEhebYarden.wav,0,0,0,0,0,6,6,3,,,,,,,,,,,,,,,36.8437125000637,None,37.543731099925935,None,37.54357178988867,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם השם שלך הוא חנה?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,0,0,0,0,7,7,2,,,,,,,,,,,,,,,38.544374000048265,None,39.24333090009168,None,39.243439389998095,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם השם שלך הוא חנה?,indicator,דמ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\INDICATORhebYarden.wav,0,0,0,0,1,0,8,5,,,,,,,,,,,,,,,40.24338170001283,None,40.94362249993719,None,40.94354399004951,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם השם שלך הוא חנה?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,0,0,0,1,1,9,1,,,,,,,,,,,,,,,41.94316160003655,None,42.643466599984095,None,42.64302138998173,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם השם שלך הוא חנה?,minister,רש,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\MINISTERhebYarden.wav,0,0,0,0,1,2,10,7,,,,,,,,,,,,,,,43.64323899988085,None,44.342572199879214,None,44.343774089962245,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם השם שלך הוא חנה?,minister,רש,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\MINISTERhebYarden.wav,0,0,0,0,1,3,11,7,,,,,,,,,,,,,,,45.34327120007947,None,46.042910899966955,None,46.04287918996997,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם השם שלך הוא חנה?,came,אב,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CAMEhebYarden.wav,0,0,0,0,1,4,12,3,,,,,,,,,,,,,,,47.04264759994112,None,47.742282799910754,None,47.742667589941995,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם השם שלך הוא חנה?,candle,רנ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CANDLEhebYarden.wav,0,0,0,0,1,5,13,6,,,,,,,,,,,,,,,48.742233499884605,None,49.4417558000423,None,49.4424412899185,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם השם שלך הוא חנה?,candle,רנ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CANDLEhebYarden.wav,0,0,0,0,1,6,14,6,,,,,,,,,,,,,,,50.44211659999564,None,51.14179229992442,None,51.1421896900516,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם השם שלך הוא חנה?,hot,םח,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\HOThebYarden.wav,0,0,0,0,1,7,15,4,,,,,,,,,,,,,,,52.141907799988985,None,52.84142740000971,None,52.84221239006147,None,,,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
האם השם שלך הוא חנה?,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,53.84134600008838,None,1,001,2022-04-03_13h09.22.026,TRY1,2022.1.1,59.95099608745235,
