Question_stim,stim,word,color,sound_target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,sound_1.started,sound_1.stopped,image.started,image.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,how_much.started,how_much.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,8.71312199998647,12.726798800053075,space,9.710760799935088,8.71312199998647,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-04-04_18h52.06.427,TRY1,2022.1.1,60.08131406810793,
,,,,,,,,,,,,,,,,,,,18.450101800030097,None,space,5.353422099957243,18.450101800030097,None,,,,,,,,,,,,,,,,,,,1,001,2022-04-04_18h52.06.427,TRY1,2022.1.1,60.08131406810793,
,,,,,,,,,,,,,,,,,,,,,,,,,23.824842040007933,None,24.825007000006735,34.823722400004044,space,17.96622970001772,24.825007000006735,None,,,,,,,,,,,1,001,2022-04-04_18h52.06.427,TRY1,2022.1.1,60.08131406810793,
האם איתן גר בישראל?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,0,0,0,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,42.871278499951586,None,44.86086210003123,None,45.55907510011457,None,45.55661388006993,None,,,1,001,2022-04-04_18h52.06.427,TRY1,2022.1.1,60.08131406810793,
האם איתן גר בישראל?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,0,0,0,4,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,46.53942300006747,None,47.2497338000685,None,47.25539528005757,None,,,1,001,2022-04-04_18h52.06.427,TRY1,2022.1.1,60.08131406810793,
האם איתן גר בישראל?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,0,0,4,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,48.23895419994369,None,48.9533140999265,None,48.9553163799923,None,,,1,001,2022-04-04_18h52.06.427,TRY1,2022.1.1,60.08131406810793,
האם איתן גר בישראל?,came,אב,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CAMEhebYarden.wav,0,0,0,4,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,49.93883070000447,None,50.64511810010299,None,50.65505068013445,None,,,1,001,2022-04-04_18h52.06.427,TRY1,2022.1.1,60.08131406810793,
האם איתן גר בישראל?,hot,םח,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\HOThebYarden.wav,0,0,0,4,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,51.63864409993403,None,52.352555399993435,None,52.354783580033114,None,,,1,001,2022-04-04_18h52.06.427,TRY1,2022.1.1,60.08131406810793,
האם איתן גר בישראל?,indicator,דמ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\INDICATORhebYarden.wav,0,0,0,4,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,53.33874040003866,None,54.03849880001508,None,54.03805704000406,None,,,1,001,2022-04-04_18h52.06.427,TRY1,2022.1.1,60.08131406810793,
האם איתן גר בישראל?,candle,רנ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CANDLEhebYarden.wav,0,0,0,4,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,55.038089900044724,None,55.73754439991899,None,55.737262740079316,None,,,1,001,2022-04-04_18h52.06.427,TRY1,2022.1.1,60.08131406810793,
האם איתן גר בישראל?,minister,רש,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\MINISTERhebYarden.wav,0,0,0,4,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,56.737739300122485,None,57.44326200010255,None,57.45416318005883,None,,,1,001,2022-04-04_18h52.06.427,TRY1,2022.1.1,60.08131406810793,
האם איתן גר בישראל?,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.437452600104734,None,1,001,2022-04-04_18h52.06.427,TRY1,2022.1.1,60.08131406810793,
