Question_stim,stim,word,color,sound_target,target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,sound_1.started,sound_1.stopped,image.started,image.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,how_much.started,how_much.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,8.334377999883145,None,space,2.9864283001516014,8.334377999883145,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-04-04_19h06.37.223,TRY1,2022.1.1,60.04768988892046,
,,,,,,,,,,,,,,,,,,,,11.346693699946627,None,space,0.49438490020111203,11.346693699946627,None,,,,,,,,,,,,,,,,,,,1,001,2022-04-04_19h06.37.223,TRY1,2022.1.1,60.04768988892046,
,,,,,,,,,,,,,,,,,,,,,,,,,,11.870661809830926,None,12.870898599969223,None,space,0.00888970005325973,12.870898599969223,None,,,,,,,,,,,1,001,2022-04-04_19h06.37.223,TRY1,2022.1.1,60.04768988892046,
האם יש לך חמישה ילדים?,yes,ןכ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\YEShebYardenSHORT.wav,1,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,12.91993059986271,None,14.921461999882013,None,15.6207252999302,None,15.620871309912763,None,,,1,001,2022-04-04_19h06.37.223,TRY1,2022.1.1,60.04768988892046,
האם יש לך חמישה ילדים?,no,אל,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\NOhebYardenSHORT.wav,2,0,0,0,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,16.62030389998108,None,17.320387999992818,None,17.32133540979121,None,,,1,001,2022-04-04_19h06.37.223,TRY1,2022.1.1,60.04768988892046,
האם יש לך חמישה ילדים?,whiteNoise,שער,grey,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\PinkNoise.wav,0,0,0,0,2,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,18.320529099786654,None,19.020678999833763,None,19.020560209895486,None,,,1,001,2022-04-04_19h06.37.223,TRY1,2022.1.1,60.04768988892046,
האם יש לך חמישה ילדים?,came,אב,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CAMEhebYarden.wav,0,0,0,0,2,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,20.020179399987683,None,20.718773999949917,None,20.719619809906,None,,,1,001,2022-04-04_19h06.37.223,TRY1,2022.1.1,60.04768988892046,
האם יש לך חמישה ילדים?,hot,םח,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\HOThebYarden.wav,0,0,0,0,2,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,21.719791299896315,None,22.419081199914217,None,22.419892309955323,None,,,1,001,2022-04-04_19h06.37.223,TRY1,2022.1.1,60.04768988892046,
האם יש לך חמישה ילדים?,indicator,דמ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\INDICATORhebYarden.wav,0,0,0,0,2,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,23.419505199883133,None,24.11877439985983,None,24.11957560994197,None,,,1,001,2022-04-04_19h06.37.223,TRY1,2022.1.1,60.04768988892046,
האם יש לך חמישה ילדים?,candle,רנ,black,C:\Users\yarde\Documents\GitHub\BCI4ALS-MI\CANDLEhebYarden.wav,0,0,0,0,2,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,25.119508399860933,None,25.81852349988185,None,25.819072509906256,None,,,1,001,2022-04-04_19h06.37.223,TRY1,2022.1.1,60.04768988892046,
