Question_stim,index,stim,word,color,sound_target,target,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,image_2.started,image_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,sound_1.started,sound_1.stopped,image.started,image.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,target_quest.started,target_quest.stopped,polygon.started,polygon.stopped,target_word.started,target_word.stopped,target_sound.started,target_sound.stopped,how_much.started,how_much.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,7.516569199971855,None,space,1.1273266999050975,7.516569199971855,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
,,,,,,,,,,,,,,,,,,,,,8.680797100067139,None,space,3.1261476997751743,8.680797100067139,None,,,,,,,,,,,,,,,,,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
,,,,,,,,,,,,,,,,,,,,,,,,,,,11.83712639012374,None,12.837143700104207,None,space,1.7191808999050409,12.837143700104207,None,,,,,,,,,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם שולחן הוא רהיט?,0,indicator,דמ,black,INDICATORhebYarden.wav,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,14.600443399976939,None,16.604340200079605,None,17.30438750004396,None,17.303498990181833,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם שולחן הוא רהיט?,1,candle,רנ,black,CANDLEhebYarden.wav,0,0,0,0,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,18.30280419997871,None,19.002645400119945,None,19.00310789006762,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם שולחן הוא רהיט?,2,hot,םח,black,HOThebYarden.wav,0,0,0,0,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,20.00217210012488,None,20.70232420018874,None,20.702605190034955,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם שולחן הוא רהיט?,3,indicator,דמ,black,INDICATORhebYarden.wav,0,0,0,0,3,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,21.702604500111192,None,22.402825500117615,None,22.402483389992266,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם שולחן הוא רהיט?,4,hot,םח,black,HOThebYarden.wav,0,0,0,0,3,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,23.401688900077716,None,24.102014500182122,None,24.102086190180852,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם שולחן הוא רהיט?,5,yes,ןכ,black,YEShebYardenSHORT.wav,1,0,0,0,3,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,25.10211950005032,None,25.80181820015423,None,25.80191189008765,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
האם שולחן הוא רהיט?,6,no,אל,black,NOhebYardenSHORT.wav,2,0,0,0,3,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,26.801900600083172,None,27.501054600114003,None,27.501857690094038,None,,,1,001,2022-04-04_20h06.57.749,TRY_rec,2022.1.1,60.08113353703785,
